Layer name,IFMAP Height,IFMAP Width,Filter Height,Filter Width,Channels,Num Filter,Strides,
Conv2d-1,32,32,3,3,3,32,1,
Conv2d-2,30,30,3,3,32,32,1,
Conv2d-3,30,30,3,3,32,64,1,
Conv2d-4,30,30,3,3,64,96,1,
Conv2d-5,30,30,1,1,160,64,1,
Conv2d-6,30,30,7,1,64,64,1,
Conv2d-7,30,30,1,7,64,64,1,
Conv2d-8,30,30,3,3,64,96,1,
Conv2d-9,30,30,1,1,160,64,1,
Conv2d-10,30,30,3,3,64,96,1,
Conv2d-11,30,30,3,3,192,192,1,
Conv2d-12,30,30,1,1,384,64,1,
Conv2d-13,30,30,3,3,64,96,1,
Conv2d-14,30,30,3,3,96,96,1,
Conv2d-15,30,30,1,1,384,64,1,
Conv2d-16,30,30,3,3,64,96,1,
Conv2d-17,30,30,1,1,384,96,1,
Conv2d-18,30,30,1,1,384,96,1,
Conv2d-19,30,30,1,1,384,64,1,
Conv2d-20,30,30,3,3,64,96,1,
Conv2d-21,30,30,3,3,96,96,1,
Conv2d-22,30,30,1,1,384,64,1,
Conv2d-23,30,30,3,3,64,96,1,
Conv2d-24,30,30,1,1,384,96,1,
Conv2d-25,30,30,1,1,384,96,1,
Conv2d-26,30,30,1,1,384,64,1,
Conv2d-27,30,30,3,3,64,96,1,
Conv2d-28,30,30,3,3,96,96,1,
Conv2d-29,30,30,1,1,384,64,1,
Conv2d-30,30,30,3,3,64,96,1,
Conv2d-31,30,30,1,1,384,96,1,
Conv2d-32,30,30,1,1,384,96,1,
Conv2d-33,30,30,1,1,384,64,1,
Conv2d-34,30,30,3,3,64,96,1,
Conv2d-35,30,30,3,3,96,96,1,
Conv2d-36,30,30,1,1,384,64,1,
Conv2d-37,30,30,3,3,64,96,1,
Conv2d-38,30,30,1,1,384,96,1,
Conv2d-39,30,30,1,1,384,96,1,
Conv2d-40,30,30,1,1,384,192,1,
Conv2d-41,30,30,3,3,192,224,1,
Conv2d-42,30,30,3,3,224,256,2,
Conv2d-43,30,30,3,3,384,384,2,
Conv2d-44,14,14,1,1,1024,384,1,
Conv2d-45,14,14,1,1,1024,192,1,
Conv2d-46,14,14,1,7,192,224,1,
Conv2d-47,14,14,7,1,224,256,1,
Conv2d-48,14,14,1,1,1024,192,1,
Conv2d-49,14,14,1,7,192,192,1,
Conv2d-50,14,14,7,1,192,224,1,
Conv2d-51,14,14,1,7,224,224,1,
Conv2d-52,14,14,7,1,224,256,1,
Conv2d-53,14,14,1,1,1024,128,1,
Conv2d-54,14,14,1,1,1024,384,1,
Conv2d-55,14,14,1,1,1024,192,1,
Conv2d-56,14,14,1,7,192,224,1,
Conv2d-57,14,14,7,1,224,256,1,
Conv2d-58,14,14,1,1,1024,192,1,
Conv2d-59,14,14,1,7,192,192,1,
Conv2d-60,14,14,7,1,192,224,1,
Conv2d-61,14,14,1,7,224,224,1,
Conv2d-62,14,14,7,1,224,256,1,
Conv2d-63,14,14,1,1,1024,128,1,
Conv2d-64,14,14,1,1,1024,384,1,
Conv2d-65,14,14,1,1,1024,192,1,
Conv2d-66,14,14,1,7,192,224,1,
Conv2d-67,14,14,7,1,224,256,1,
Conv2d-68,14,14,1,1,1024,192,1,
Conv2d-69,14,14,1,7,192,192,1,
Conv2d-70,14,14,7,1,192,224,1,
Conv2d-71,14,14,1,7,224,224,1,
Conv2d-72,14,14,7,1,224,256,1,
Conv2d-73,14,14,1,1,1024,128,1,
Conv2d-74,14,14,1,1,1024,384,1,
Conv2d-75,14,14,1,1,1024,192,1,
Conv2d-76,14,14,1,7,192,224,1,
Conv2d-77,14,14,7,1,224,256,1,
Conv2d-78,14,14,1,1,1024,192,1,
Conv2d-79,14,14,1,7,192,192,1,
Conv2d-80,14,14,7,1,192,224,1,
