Layer name,IFMAP Height,IFMAP Width,Filter Height,Filter Width,Channels,Num Filter,Strides,
Conv2d-1,32,32,1,1,3,32,1,
Conv2d-2,34,34,1,1,32,32,1,
Conv2d-3,34,34,3,3,32,1,1,
Conv2d-4,34,34,1,1,32,16,1,
Conv2d-5,34,34,1,1,16,96,1,
Conv2d-6,34,34,3,3,96,1,2,
Conv2d-7,17,17,1,1,96,24,1,
Conv2d-8,17,17,1,1,24,144,1,
Conv2d-9,17,17,3,3,144,1,1,
Conv2d-10,17,17,1,1,144,24,1,
Conv2d-11,17,17,1,1,24,144,1,
Conv2d-12,17,17,3,3,144,1,2,
Conv2d-13,9,9,1,1,144,32,1,
Conv2d-14,9,9,1,1,32,192,1,
Conv2d-15,9,9,3,3,192,1,1,
Conv2d-16,9,9,1,1,192,32,1,
Conv2d-17,9,9,1,1,32,192,1,
Conv2d-18,9,9,3,3,192,1,1,
Conv2d-19,9,9,1,1,192,32,1,
Conv2d-20,9,9,1,1,32,192,1,
Conv2d-21,9,9,3,3,192,1,2,
Conv2d-22,5,5,1,1,192,64,1,
Conv2d-23,5,5,1,1,64,384,1,
Conv2d-24,5,5,3,3,384,1,1,
Conv2d-25,5,5,1,1,384,64,1,
Conv2d-26,5,5,1,1,64,384,1,
Conv2d-27,5,5,3,3,384,1,1,
Conv2d-28,5,5,1,1,384,64,1,
Conv2d-29,5,5,1,1,64,384,1,
Conv2d-30,5,5,3,3,384,1,1,
Conv2d-31,5,5,1,1,384,64,1,
Conv2d-32,5,5,1,1,64,384,1,
Conv2d-33,5,5,3,3,384,1,1,
Conv2d-34,5,5,1,1,384,96,1,
Conv2d-35,5,5,1,1,96,576,1,
Conv2d-36,5,5,3,3,576,1,1,
Conv2d-37,5,5,1,1,576,96,1,
Conv2d-38,5,5,1,1,96,576,1,
Conv2d-39,5,5,3,3,576,1,1,
Conv2d-40,5,5,1,1,576,96,1,
Conv2d-41,5,5,1,1,96,576,1,
Conv2d-42,5,5,3,3,576,1,1,
Conv2d-43,5,5,1,1,576,160,1,
Conv2d-44,5,5,1,1,160,960,1,
Conv2d-45,5,5,3,3,960,1,1,
Conv2d-46,5,5,1,1,960,160,1,
Conv2d-47,5,5,1,1,160,960,1,
Conv2d-48,5,5,3,3,960,1,1,
Conv2d-49,5,5,1,1,960,160,1,
Conv2d-50,5,5,1,1,160,960,1,
Conv2d-51,5,5,3,3,960,1,1,
Conv2d-52,5,5,1,1,960,320,1,
Conv2d-53,5,5,1,1,320,1280,1,
Conv2d-54,1,1,1,1,1280,10,1,
