Layer name,IFMAP Height,IFMAP Width,Filter Height,Filter Width,Channels,Num Filter,Strides,
Conv2d-1,32,32,3,3,3,64,1,
Conv2d-2,32,32,3,3,64,64,1,
Conv2d-3,16,16,3,3,64,128,1,
Conv2d-4,16,16,3,3,128,128,1,
Conv2d-5,8,8,3,3,128,256,1,
Conv2d-6,8,8,3,3,256,256,1,
Conv2d-7,8,8,3,3,256,256,1,
Conv2d-8,4,4,3,3,256,512,1,
Conv2d-9,4,4,3,3,512,512,1,
Conv2d-10,4,4,3,3,512,512,1,
Conv2d-11,3,3,3,3,512,512,1,
Conv2d-12,3,3,3,3,512,512,1,
Conv2d-13,3,3,3,3,512,512,1,
Linear-14,1,1,1,1,512,4096,1,
Linear-15,1,1,1,1,4096,4096,1,
Linear-16,1,1,1,1,4096,10,1,
